ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"22pF"	"C1,C2"	"C0603"	"2"	"CL10C220JB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1653"	"0.005"
"2"	"100nF"	"C3,C4,C5,C6,C10,C11,C12,C14,C18"	"C0603"	"9"	"CC0603KRX7R9BB104"	"YAGEO(国巨)"	"LCSC"	"C14663"	"0.002"
"3"	"33nF"	"C7,C8"	"C0603"	"2"	"CL10B333KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C21117"	"0.004"
"4"	"22uF"	"C9,C19"	"CAP-TH_BD4.0-P1.50-D0.8-FD"	"2"	"KS226M025C07RR0VH2FP0"	"CX(承兴)"	"LCSC"	"C43840"	"0.012"
"5"	"10nF"	"C13,C15,C16,C17"	"C0603"	"4"	"0603B103K500NT"	"FH(风华)"	"LCSC"	"C57112"	"0.003"
"6"	"LL4148_C181117"	"D1,D2,D3,D4,D5,D6"	"LL-34_L3.5-W1.5-RD"	"6"	"LL4148"	"Hottech(合科泰)"	"LCSC"	"C181117"	"0.007"
"7"	"1N5819WS"	"D7"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"1"	"1N5819WS"	"Hottech(合科泰)"	"LCSC"	"C191023"	"0.012"
"8"	"HDR-M-2.54_1x8"	"J1"	"HDR-M-2.54_1X8"	"1"	""	""	"LCSC"	"C190820"	"0.049"
"9"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED1"	"LED0603-RD-YELLOW"	"1"	"19-213/Y2C-CQ2R2L/3T(CY)"	"EVERLIGHT(亿光)"	"LCSC"	"C72038"	"0.021"
"10"	"MMBT3904-C20526"	"Q1,Q2"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"2"	"MMBT3904"	"CJ(江苏长电/长晶)"	"LCSC"	"C20526"	"0.01"
"11"	"10kΩ"	"R1,R2,R5,R6,R13,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32"	"R0603"	"15"	"0603WAF1002T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C25804"	"0.001"
"12"	"220kΩ"	"R3,R4"	"R0603"	"2"	"0603WAF2203T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C22961"	"0.001"
"13"	"1kΩ"	"R7,R8,R9,R10,R11,R12,R14"	"R0603"	"7"	"0603WAF1001T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C21190"	"0.001"
"14"	"150kΩ"	"R15,R16,R17,R18"	"R0603"	"4"	"0603WAF1503T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C22807"	"0.001"
"15"	"100kΩ"	"R19,R20,R21,R22"	"R0603"	"4"	"0603WAF1003T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C25803"	"0.001"
"16"	"EC11E153442W"	"SW1,SW2"	"SW-TH_EC11E153442W"	"2"	"EC11E153442W"	"ALPSALPINE(阿尔卑斯阿尔派)"	"LCSC"	"C1322542"	"1.878"
"17"	"ATMEGA1284P-AU"	"U1"	"TQFP-44_L10.0-W10.0-P0.80-LS12.0-BL"	"1"	"ATMEGA1284P-AU"	"MICROCHIP(美国微芯)"	"LCSC"	"C33575"	"6.408"
"18"	"L78M05ABDT-TR"	"U2"	"TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL"	"1"	"L78M05ABDT-TR"	"ST(意法半导体)"	"LCSC"	"C58069"	"0.15"
"19"	"Thonkiconn - Mono Jack"	"U4,U5,U6,U7,U8,U9,U10,U11"	"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM"	"8"	""	""	""	""	""
"20"	"SSD1306"	"U12"	"SSD1306"	"1"	""	""	""	""	""
"21"	"10PIN EURORACK HEADER SHROUDED"	"U13"	"2X5PIN HEADER SHROUDED"	"1"	"87227-5"	"TE Connectivity"	"LCSC"	"C306130"	"2.997"
"22"	"MCP4822-E/SN"	"U14,U15"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"2"	"MCP4822-E/SN"	"MICROCHIP(美国微芯)"	"LCSC"	"C16040"	"5.398"
"23"	"T18 alpha 9mm"	"VR1,VR2"	"T18 ALPHA 9MM"	"2"	""	""	""	""	""
"24"	"16MHz"	"X1"	"OSC-SMD_4P-L3.2-W2.5-BL"	"1"	"X322516MLB4SI"	"YXC(扬兴晶振)"	"LCSC"	"C13738"	"0.068"
"25"	"LM324DT"	"U3"	"SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"	"1"	"LM324DT"	"ST(意法半导体)"	"LCSC"	"C71035"	"0.128"
